#l, l(1+l)cl/2/pi mu k^2
208.38883957368492, 0.6999330250520324
243.46518750030748, 0.8714420102340078
283.3903561269821, 1.0681321702828526
339.7676520388372, 1.314385671391666
414.97586080282014, 1.6623328459950504
522.0629682038467, 2.1523695891603634
701.9885779259832, 2.79797016705233
912.98519639816, 3.4975998115274374
1196.145295462043, 4.171753786281713
1567.088975404404, 4.879494662997688
1993.063178021288, 5.340035122493369
2739.458308374232, 5.7763256356432775
3357.3454763774075, 5.891587561736712
4397.429000166141, 5.645030681782475
5154.925985916761, 5.3660555793319125
6155.579031164047, 5.041463523087752
7242.384403722152, 4.644717419847457
8121.205319144685, 4.29575564872937
9379.798315882184, 3.8809838675945727
9841.112177434858, 3.7032327719486764
