# theta_arcmin xi1h xi2h xi
0.01 2.883e-09 7.943e-10 3.677e-09
1.02 2.789e-09 7.897e-10 3.579e-09
2.03 2.544e-09 7.770e-10 3.321e-09
3.04 2.219e-09 7.581e-10 2.977e-09
4.05 1.886e-09 7.354e-10 2.622e-09
5.06 1.590e-09 7.109e-10 2.301e-09
6.07 1.343e-09 6.860e-10 2.029e-09
7.08 1.145e-09 6.616e-10 1.806e-09
8.09 9.856e-10 6.380e-10 1.624e-09
9.10 8.569e-10 6.155e-10 1.472e-09
10.11 7.517e-10 5.942e-10 1.346e-09
11.12 6.648e-10 5.740e-10 1.239e-09
12.13 5.922e-10 5.549e-10 1.147e-09
13.14 5.309e-10 5.368e-10 1.068e-09
14.15 4.787e-10 5.197e-10 9.983e-10
15.16 4.338e-10 5.035e-10 9.372e-10
16.17 3.949e-10 4.881e-10 8.830e-10
17.18 3.610e-10 4.735e-10 8.345e-10
18.19 3.313e-10 4.597e-10 7.910e-10
19.20 3.051e-10 4.465e-10 7.516e-10
20.21 2.818e-10 4.340e-10 7.158e-10
21.22 2.611e-10 4.220e-10 6.832e-10
22.23 2.426e-10 4.107e-10 6.533e-10
23.24 2.260e-10 3.998e-10 6.257e-10
24.25 2.110e-10 3.894e-10 6.003e-10
25.26 1.974e-10 3.794e-10 5.768e-10
26.27 1.850e-10 3.699e-10 5.549e-10
27.28 1.738e-10 3.607e-10 5.346e-10
28.29 1.636e-10 3.520e-10 5.156e-10
29.30 1.542e-10 3.436e-10 4.977e-10
30.31 1.456e-10 3.355e-10 4.810e-10
31.32 1.376e-10 3.277e-10 4.653e-10
32.33 1.303e-10 3.202e-10 4.506e-10
33.34 1.236e-10 3.130e-10 4.366e-10
34.35 1.173e-10 3.061e-10 4.234e-10
35.36 1.115e-10 2.994e-10 4.109e-10
36.37 1.061e-10 2.929e-10 3.991e-10
37.38 1.011e-10 2.867e-10 3.878e-10
38.39 9.644e-11 2.807e-10 3.771e-10
39.40 9.207e-11 2.749e-10 3.669e-10
40.41 8.799e-11 2.692e-10 3.572e-10
41.42 8.416e-11 2.638e-10 3.480e-10
42.43 8.057e-11 2.585e-10 3.391e-10
43.44 7.720e-11 2.534e-10 3.306e-10
44.45 7.403e-11 2.485e-10 3.225e-10
45.46 7.105e-11 2.437e-10 3.148e-10
46.47 6.824e-11 2.391e-10 3.073e-10
47.48 6.559e-11 2.346e-10 3.002e-10
48.49 6.308e-11 2.302e-10 2.933e-10
49.50 6.071e-11 2.260e-10 2.867e-10
50.51 5.847e-11 2.219e-10 2.803e-10
51.52 5.635e-11 2.179e-10 2.742e-10
52.53 5.433e-11 2.140e-10 2.683e-10
53.54 5.242e-11 2.102e-10 2.626e-10
54.55 5.061e-11 2.065e-10 2.571e-10
55.56 4.888e-11 2.030e-10 2.518e-10
56.57 4.724e-11 1.995e-10 2.467e-10
57.58 4.568e-11 1.961e-10 2.418e-10
58.59 4.419e-11 1.928e-10 2.370e-10
59.60 4.277e-11 1.896e-10 2.324e-10
60.61 4.142e-11 1.865e-10 2.279e-10
61.62 4.013e-11 1.834e-10 2.235e-10
62.63 3.889e-11 1.805e-10 2.193e-10
63.64 3.771e-11 1.776e-10 2.153e-10
64.65 3.658e-11 1.747e-10 2.113e-10
65.66 3.550e-11 1.720e-10 2.075e-10
66.67 3.446e-11 1.693e-10 2.037e-10
67.68 3.347e-11 1.667e-10 2.001e-10
68.69 3.252e-11 1.641e-10 1.966e-10
69.70 3.160e-11 1.616e-10 1.932e-10
70.71 3.073e-11 1.592e-10 1.899e-10
71.72 2.988e-11 1.568e-10 1.867e-10
72.73 2.908e-11 1.544e-10 1.835e-10
73.74 2.830e-11 1.522e-10 1.805e-10
74.75 2.755e-11 1.499e-10 1.775e-10
75.76 2.683e-11 1.477e-10 1.746e-10
76.77 2.614e-11 1.456e-10 1.718e-10
77.78 2.547e-11 1.435e-10 1.690e-10
78.79 2.483e-11 1.415e-10 1.663e-10
79.80 2.421e-11 1.395e-10 1.637e-10
80.81 2.361e-11 1.375e-10 1.612e-10
81.82 2.303e-11 1.356e-10 1.587e-10
82.83 2.248e-11 1.338e-10 1.562e-10
83.84 2.194e-11 1.319e-10 1.539e-10
84.85 2.142e-11 1.301e-10 1.516e-10
85.86 2.092e-11 1.284e-10 1.493e-10
86.87 2.043e-11 1.267e-10 1.471e-10
87.88 1.997e-11 1.250e-10 1.449e-10
88.89 1.951e-11 1.233e-10 1.428e-10
89.90 1.907e-11 1.217e-10 1.408e-10
90.91 1.865e-11 1.201e-10 1.388e-10
91.92 1.824e-11 1.185e-10 1.368e-10
92.93 1.784e-11 1.170e-10 1.349e-10
93.94 1.746e-11 1.155e-10 1.330e-10
94.95 1.708e-11 1.140e-10 1.311e-10
95.96 1.672e-11 1.126e-10 1.293e-10
96.97 1.637e-11 1.112e-10 1.276e-10
97.98 1.603e-11 1.098e-10 1.258e-10
98.99 1.570e-11 1.084e-10 1.241e-10
100.00 1.538e-11 1.071e-10 1.225e-10
