# R(arcmin) R(Comovin-Mpc) 1halo 2halo Total Smoothed-1halo Smoothed-2halo Smoothed-Total
5.241300e-02 1.000000e-02 5.546349e-05 9.038473e-08 5.555387e-05 1.926977e-05 7.973344e-08 1.934951e-05
6.325162e-02 1.206793e-02 5.202410e-05 9.038645e-08 5.211448e-05 1.926916e-05 7.973325e-08 1.934889e-05
7.633159e-02 1.456348e-02 4.869638e-05 9.038904e-08 4.878676e-05 1.926826e-05 7.973297e-08 1.934800e-05
9.211640e-02 1.757511e-02 4.546748e-05 9.039269e-08 4.555787e-05 1.926697e-05 7.973255e-08 1.934670e-05
1.111654e-01 2.120951e-02 4.232563e-05 9.039520e-08 4.241603e-05 1.926506e-05 7.973195e-08 1.934480e-05
1.341536e-01 2.559548e-02 3.926044e-05 9.039518e-08 3.935084e-05 1.926231e-05 7.973108e-08 1.934204e-05
1.618955e-01 3.088844e-02 3.626332e-05 9.039118e-08 3.635371e-05 1.925828e-05 7.972980e-08 1.933801e-05
1.953744e-01 3.727594e-02 3.332802e-05 9.038472e-08 3.341840e-05 1.925243e-05 7.972795e-08 1.933216e-05
2.357763e-01 4.498433e-02 3.045115e-05 9.037413e-08 3.054152e-05 1.924391e-05 7.972525e-08 1.932364e-05
2.845331e-01 5.428675e-02 2.763279e-05 9.035267e-08 2.772314e-05 1.923150e-05 7.972131e-08 1.931122e-05
3.433725e-01 6.551286e-02 2.487694e-05 9.032023e-08 2.496726e-05 1.921344e-05 7.971558e-08 1.929316e-05
4.143794e-01 7.906043e-02 2.219178e-05 9.028062e-08 2.228207e-05 1.918717e-05 7.970724e-08 1.926688e-05
5.000700e-01 9.540955e-02 1.958967e-05 9.022216e-08 1.967989e-05 1.914898e-05 7.969510e-08 1.922868e-05
6.034808e-01 1.151395e-01 1.708650e-05 9.011928e-08 1.717662e-05 1.909350e-05 7.967744e-08 1.917317e-05
7.282762e-01 1.389495e-01 1.470076e-05 8.997323e-08 1.479073e-05 1.901297e-05 7.965174e-08 1.909262e-05
8.788784e-01 1.676833e-01 1.245233e-05 8.977620e-08 1.254210e-05 1.889632e-05 7.961439e-08 1.897594e-05
1.060624e+00 2.023590e-01 1.036131e-05 8.949687e-08 1.045081e-05 1.872773e-05 7.956011e-08 1.880729e-05
1.279953e+00 2.442053e-01 8.447197e-06 8.912247e-08 8.536319e-06 1.848494e-05 7.948134e-08 1.856442e-05
1.544638e+00 2.947052e-01 6.727173e-06 8.862854e-08 6.815802e-06 1.813708e-05 7.936721e-08 1.821644e-05
1.864058e+00 3.556480e-01 5.216756e-06 8.798000e-08 5.304736e-06 1.764236e-05 7.920223e-08 1.772157e-05
2.249531e+00 4.291934e-01 3.927460e-06 8.714417e-08 4.014604e-06 1.694641e-05 7.896452e-08 1.702537e-05
2.714718e+00 5.179475e-01 2.863187e-06 8.608497e-08 2.949272e-06 1.598262e-05 7.862366e-08 1.606125e-05
3.276102e+00 6.250552e-01 2.017334e-06 8.476274e-08 2.102097e-06 1.467804e-05 7.813820e-08 1.475618e-05
